trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-104.89972169740531,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-57.58008721048596,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-94.96540506344806,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,6,-2.027405896206874,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-107.52283066568329,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-68.50617130935447,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-91.6104819400112,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,15.867284465622982,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-33.14719837503685,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-93.7782175295591,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-127.97435614773883,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-142.53314922929687,"{0: 23, 1: 1, 2: 7, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-141.4032738696553,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-161.7524397588972,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-171.27506253207903,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-85.12454750838684,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-102.31727605585161,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-131.02610325551018,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-168.58768422766354,"{0: 10, 1: 0, 2: 4, 3: 5, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-232.05343849151015,"{0: 14, 1: 5, 2: 6, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,0,-130.7505416499302,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,0,-308.94351195334747,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 6}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,0,-67.78750146151116,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,-91.74730343059493,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",25,0,-158.18439690784203,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,-36.45144291996003,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",30,0,-192.09303811505944,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-65.30319038155487,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",35,0,-201.92104881594335,"{0: 19, 1: 4, 2: 8, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",30,0,-139.09255362327121,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
11,True,"{'a': 0.5, 'e': -0.5500000000000004}",30,0,-53.10903902227774,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
12,True,"{'a': 0.5, 'e': -0.6000000000000004}",35,0,-160.99458695192428,"{0: 21, 1: 5, 2: 5, 3: 2, 4: 2}",0
13,True,"{'a': 0.5, 'e': -0.6500000000000005}",25,0,-137.3446062059823,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,True,"{'a': 0.5, 'e': -0.7000000000000005}",25,0,-136.42923587927842,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
15,True,"{'a': 0.5, 'e': -0.7500000000000006}",25,0,-133.96406475685635,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
16,True,"{'a': 0.5, 'e': -0.8000000000000006}",25,0,-126.16720029545344,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
17,True,"{'a': 0.5, 'e': -0.8500000000000006}",25,0,-155.40619372272133,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
18,True,"{'a': 0.5, 'e': -0.9000000000000007}",20,0,-109.79922317018395,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
19,True,"{'a': 0.5, 'e': -0.9500000000000007}",25,12,-58.45315133429817,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 1}",1
20,True,"{'a': 0.5, 'e': -1.0000000000000007}",20,0,-76.72004510292014,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
