trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-238.33318004632946,"{0: 22, 1: 3, 2: 3, 3: 3, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.3705109833978,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.22764223666883,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.53170636905372,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-231.25226802286176,"{0: 16, 1: 0, 2: 9, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.390563684303345,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.69931479647457,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.15353281478315,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.04718119789409,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.2106731071483,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.5036380555142,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.04734012037406,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.24889080018464,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.6054869448717,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.33942272332757,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.02487457688794,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.46729521723925,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,11,-61.28198357631533,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.83818521224038,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.57185126724217,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.35591780014425,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-117.19819050502923,"{0: 26, 1: 5, 2: 0, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-37.7574376541193,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-30.144024854638968,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.78585223750703,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,4,-147.21391785667183,"{0: 8, 1: 1, 2: 3, 3: 2, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,6,-175.016665171,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,16,-3.2702562447521153,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.92027729877505,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.53887253213165,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
